code_type,code,consumer_description
CPT,0001A,Pfizer COVID-19 vaccine first dose injection
CPT,0001F,Heart failure health assessment and evaluation
CPT,0001U,Blood test to identify blood group and antigens
CPT,0002A,Pfizer COVID-19 vaccine second dose injection
CPT,0003A,Pfizer COVID-19 vaccine third dose injection
CPT,0004A,Pfizer COVID-19 vaccine booster dose injection
CPT,0011A,Moderna COVID-19 vaccine first dose injection
CPT,0012A,Moderna COVID-19 vaccine second dose injection
CPT,0012F,Assessment for bacterial pneumonia infection
CPT,0013A,Moderna COVID-19 vaccine third dose injection
CPT,0018U,Thyroid cancer genetic test for risk assessment
CPT,0020M,Brain tumor genetic analysis test
CPT,0021A,AstraZeneca COVID-19 vaccine first dose injection
CPT,0022A,AstraZeneca COVID-19 vaccine second dose injection
CPT,0023U,Blood cancer genetic detection test
CPT,0031A,Johnson and Johnson COVID-19 vaccine single dose
CPT,0034A,Johnson and Johnson COVID-19 vaccine booster
CPT,0034U,Genetic test for medication sensitivity
CPT,0035U,Spinal fluid test for prion brain disease
CPT,0037U,Comprehensive cancer genetic panel test (324 genes)
CPT,0041A,Novavax COVID-19 vaccine first dose
CPT,0042A,Novavax COVID-19 vaccine second dose
CPT,0042T,CT brain scan to measure blood flow
CPT,0046U,Blood cancer monitoring genetic test
CPT,0051A,Pfizer COVID-19 vaccine first dose (updated formula)
CPT,0052A,Pfizer COVID-19 vaccine second dose (updated formula)
CPT,0053A,Pfizer COVID-19 vaccine third dose (updated formula)
CPT,0054A,Pfizer COVID-19 vaccine booster (updated formula)
CPT,0054T,Computer-guided orthopedic surgery with X-ray
CPT,0055T,Computer-guided orthopedic surgery with CT or MRI
CPT,0064A,Moderna low-dose COVID-19 vaccine booster
CPT,0071A,Pfizer pediatric COVID-19 vaccine first dose
CPT,0072A,Pfizer pediatric COVID-19 vaccine second dose
CPT,0073A,Pfizer pediatric COVID-19 vaccine third dose
CPT,0074A,Pfizer pediatric COVID-19 vaccine booster
CPT,0075T,Carotid artery stent placement first vessel
CPT,0076T,Carotid artery stent placement additional vessel
CPT,0081A,Pfizer COVID-19 vaccine for children under 5 first dose
CPT,0082A,Pfizer COVID-19 vaccine for children under 5 second dose
CPT,0083A,Pfizer COVID-19 vaccine for children under 5 third dose
CPT,0087U,Heart transplant monitoring blood test
CPT,0088U,Kidney transplant rejection blood test
CPT,0091A,Moderna COVID-19 vaccine for children 5 and older first dose
CPT,0092A,Moderna COVID-19 vaccine for children 5 and older second dose
CPT,0093A,Moderna COVID-19 vaccine for children 5 and older third dose
CPT,0094A,Moderna low-dose COVID-19 second booster
CPT,0101T,Shock wave therapy for muscle or bone condition
CPT,0108U,Barrett esophagus cancer risk blood test
CPT,0111A,Moderna pediatric COVID-19 vaccine first dose
